"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Test for logging in and verifying the dashboard title","12627","test_login","tests","Wed Oct 22 22:57:52 EDT 2025","passed","Wed Oct 22 22:58:05 EDT 2025","TestLogin","test_login","",""
"Test for logging out from the application","8179","test_logout","tests","Wed Oct 22 22:58:05 EDT 2025","passed","Wed Oct 22 22:58:13 EDT 2025","TestLogin","test_login","",""
